site,year,species,D_cm,H_m,V_m3,X,Y,weight
100733,2002,Fagus sylvatica,48.56,26.9,2.009,NA,NA,28
100733,2002,Picea abies,7,5.3,0.009,NA,NA,88
100733,2002,Picea abies,14.1,8.6,0.054,NA,NA,88
100733,2002,Populus tremula,27.92,18.7,0.382,NA,NA,39
100733,2002,Populus tremula,31.97,24.7,0.746,NA,NA,117
100733,2002,other broadleaved,7.81,11.1,0.021,NA,NA,88
100733,2002,other broadleaved,8.6,10.8,0.024,NA,NA,264
100733,2002,other broadleaved,9.13,11.2,0.028,NA,NA,88
100733,2002,other broadleaved,9.15,12.8,0.033,NA,NA,88
100733,2002,other broadleaved,10.18,15.6,0.051,NA,NA,88
100733,2002,other broadleaved,10.76,13.7,0.047,NA,NA,177
100733,2002,other broadleaved,14.75,18.3,0.125,NA,NA,88
100733,2002,other broadleaved,19.16,24,0.292,NA,NA,88
100733,2002,other broadleaved,39.79,23.1,1.118,NA,NA,14
100733,2003,Fagus sylvatica,9.84,15.2,0.045,NA,NA,88
100733,2003,Fagus sylvatica,13.7,17.2,0.097,NA,NA,88
100733,2003,Fagus sylvatica,16.16,22.1,0.188,NA,NA,88
100733,2003,Fagus sylvatica,49.35,27.6,2.084,NA,NA,28
100733,2003,Picea abies,7,5.3,0.009,NA,NA,88
100733,2003,Picea abies,14.1,8.6,0.055,NA,NA,88
100733,2003,Populus tremula,28.47,19.5,0.404,NA,NA,39
100733,2003,Populus tremula,32.44,25.4,0.776,NA,NA,117
100733,2003,other broadleaved,7.9,11.6,0.022,NA,NA,88
100733,2003,other broadleaved,8.7,11.3,0.024,NA,NA,264
100733,2003,other broadleaved,9.23,11.7,0.028,NA,NA,88
100733,2003,other broadleaved,9.24,13.2,0.033,NA,NA,88
100733,2003,other broadleaved,10.33,16.2,0.053,NA,NA,88
100733,2003,other broadleaved,10.88,14.3,0.049,NA,NA,177
100733,2003,other broadleaved,15.15,19,0.135,NA,NA,88
100733,2003,other broadleaved,19.54,24.6,0.31,NA,NA,88
100733,2003,other broadleaved,40.55,23.9,1.168,NA,NA,14
100733,2004,Fagus sylvatica,9.95,15.8,0.047,NA,NA,88
100733,2004,Fagus sylvatica,13.9,17.7,0.1,NA,NA,88
100733,2004,Fagus sylvatica,16.51,22.7,0.199,NA,NA,88
100733,2004,Fagus sylvatica,50.1,28.2,2.163,NA,NA,28
100733,2004,Picea abies,7,5.3,0.009,NA,NA,88
100733,2004,Picea abies,14.1,8.6,0.057,NA,NA,88
100733,2004,Populus tremula,29.01,20.2,0.426,NA,NA,39
100733,2004,Populus tremula,32.9,26,0.806,NA,NA,117
100733,2004,other broadleaved,7.98,12,0.022,NA,NA,88
100733,2004,other broadleaved,8.79,11.7,0.025,NA,NA,264
100733,2004,other broadleaved,9.32,12.1,0.029,NA,NA,88
100733,2004,other broadleaved,9.31,13.6,0.034,NA,NA,88
100733,2004,other broadleaved,10.46,16.7,0.055,NA,NA,88
100733,2004,other broadleaved,11,14.9,0.05,NA,NA,177
100733,2004,other broadleaved,15.54,19.5,0.145,NA,NA,88
100733,2004,other broadleaved,19.92,25.1,0.327,NA,NA,88
100733,2004,other broadleaved,41.27,24.6,1.219,NA,NA,14
100733,2005,Fagus sylvatica,10.05,16.2,0.048,NA,NA,88
100733,2005,Fagus sylvatica,14.07,18.2,0.104,NA,NA,88
100733,2005,Fagus sylvatica,16.87,23.2,0.211,NA,NA,88
100733,2005,Fagus sylvatica,50.86,28.8,2.239,NA,NA,28
100733,2005,Picea abies,7,5.3,0.009,NA,NA,88
100733,2005,Picea abies,14.1,8.6,0.059,NA,NA,88
100733,2005,Populus tremula,29.7,21.2,0.452,NA,NA,39
100733,2005,Populus tremula,33.5,26.9,0.847,NA,NA,117
100733,2005,other broadleaved,8.05,12.3,0.023,NA,NA,88
100733,2005,other broadleaved,8.87,12,0.025,NA,NA,264
100733,2005,other broadleaved,9.4,12.4,0.03,NA,NA,88
100733,2005,other broadleaved,9.39,14,0.035,NA,NA,88
100733,2005,other broadleaved,10.57,17.1,0.056,NA,NA,88
100733,2005,other broadleaved,11.09,15.3,0.051,NA,NA,177
100733,2005,other broadleaved,15.89,20.1,0.154,NA,NA,88
100733,2005,other broadleaved,20.29,25.6,0.344,NA,NA,88
100733,2005,other broadleaved,41.99,25.2,1.27,NA,NA,14
1008648,2009,Fagus sylvatica,26.54,22.2,0.52,NA,NA,117
1008648,2009,Picea abies,38.44,23.2,0.852,NA,NA,15
1008648,2009,Abies alba,37.55,24.1,1.104,NA,NA,15
1008648,2009,Abies alba,29.64,18.8,0.503,NA,NA,132
1008648,2009,other broadleaved,8.25,11.3,0.023,NA,NA,88
1008648,2009,other broadleaved,8.85,11.3,0.026,NA,NA,88
1008648,2009,other broadleaved,9.37,10.3,0.026,NA,NA,88
1008648,2009,other broadleaved,10.46,11.3,0.035,NA,NA,88
1008648,2009,other broadleaved,12.27,11.4,0.048,NA,NA,88
1008648,2009,other broadleaved,14.48,11.4,0.066,NA,NA,88
1008648,2009,other broadleaved,17.99,11.4,0.103,NA,NA,88
1008648,2009,other broadleaved,40.76,21.3,1.156,NA,NA,15
1008648,2009,other broadleaved,33.58,19.4,0.704,NA,NA,54
1008648,2010,Fagus sylvatica,26.83,22.7,0.534,NA,NA,117
1008648,2010,Picea abies,38.67,24.7,0.863,NA,NA,15
1008648,2010,Abies alba,38.44,24.5,1.173,NA,NA,15
1008648,2010,Abies alba,30.02,19.4,0.521,NA,NA,132
1008648,2010,other broadleaved,8.35,12.2,0.024,NA,NA,88
1008648,2010,other broadleaved,8.96,12.2,0.027,NA,NA,88
1008648,2010,other broadleaved,9.49,11.3,0.027,NA,NA,88
1008648,2010,other broadleaved,10.59,12.3,0.036,NA,NA,88
1008648,2010,other broadleaved,12.41,12.4,0.049,NA,NA,88
1008648,2010,other broadleaved,14.63,12.5,0.068,NA,NA,88
1008648,2010,other broadleaved,18.16,12.6,0.105,NA,NA,88
1008648,2010,other broadleaved,41.18,21.8,1.183,NA,NA,15
1008648,2010,other broadleaved,33.88,19.8,0.721,NA,NA,54
1008648,2011,Fagus sylvatica,27.09,23.2,0.548,NA,NA,117
1008648,2011,Picea abies,38.98,25,0.922,NA,NA,15
1008648,2011,Abies alba,39.31,24.8,1.244,NA,NA,15
1008648,2011,Abies alba,30.39,19.9,0.537,NA,NA,132
1008648,2011,other broadleaved,8.45,12.9,0.025,NA,NA,88
1008648,2011,other broadleaved,9.07,13,0.028,NA,NA,88
1008648,2011,other broadleaved,9.6,12.2,0.028,NA,NA,88
1008648,2011,other broadleaved,10.71,13.1,0.038,NA,NA,88
1008648,2011,other broadleaved,12.54,13.3,0.051,NA,NA,88
1008648,2011,other broadleaved,14.78,13.4,0.07,NA,NA,88
1008648,2011,other broadleaved,18.31,13.4,0.107,NA,NA,88
1008648,2011,other broadleaved,41.55,22.3,1.208,NA,NA,15
1008648,2011,other broadleaved,34.14,20.2,0.732,NA,NA,54
1008648,2012,Fagus sylvatica,27.39,23.6,0.564,NA,NA,117
1008648,2012,Picea abies,39.43,25.5,0.995,NA,NA,15
1008648,2012,Abies alba,40.32,25.2,1.326,NA,NA,15
1008648,2012,Abies alba,30.78,20.5,0.555,NA,NA,132
1008648,2012,other broadleaved,8.55,13.7,0.026,NA,NA,88
1008648,2012,other broadleaved,9.17,13.8,0.029,NA,NA,88
1008648,2012,other broadleaved,9.73,13.2,0.029,NA,NA,88
1008648,2012,other broadleaved,10.83,14,0.039,NA,NA,88
1008648,2012,other broadleaved,12.67,14.2,0.053,NA,NA,88
1008648,2012,other broadleaved,14.92,14.4,0.072,NA,NA,88
1008648,2012,other broadleaved,18.47,14.4,0.11,NA,NA,88
1008648,2012,other broadleaved,41.97,22.8,1.235,NA,NA,15
1008648,2012,other broadleaved,34.42,20.5,0.749,NA,NA,54
1008648,2013,Fagus sylvatica,27.68,24.1,0.578,NA,NA,117
1008648,2013,Picea abies,39.85,25.9,1.06,NA,NA,15
1008648,2013,Abies alba,41.32,25.6,1.41,NA,NA,15
1008648,2013,Abies alba,31.17,21,0.574,NA,NA,132
1008648,2013,other broadleaved,8.64,14.3,0.027,NA,NA,88
1008648,2013,other broadleaved,9.26,14.5,0.03,NA,NA,88
1008648,2013,other broadleaved,9.83,13.9,0.03,NA,NA,88
1008648,2013,other broadleaved,10.94,14.8,0.04,NA,NA,88
1008648,2013,other broadleaved,12.8,15,0.054,NA,NA,88
1008648,2013,other broadleaved,15.05,15.2,0.074,NA,NA,88
1008648,2013,other broadleaved,18.62,15.3,0.112,NA,NA,88
1008648,2013,other broadleaved,42.36,23.2,1.262,NA,NA,15
1008648,2013,other broadleaved,34.68,20.8,0.761,NA,NA,54
1008648,2014,Fagus sylvatica,27.93,24.4,0.595,NA,NA,117
1008648,2014,Picea abies,40.18,26.1,1.125,NA,NA,15
1008648,2014,Abies alba,42.21,25.8,1.488,NA,NA,15
1008648,2014,Abies alba,31.52,21.3,0.59,NA,NA,132
1008648,2014,other broadleaved,8.72,14.9,0.027,NA,NA,88
1008648,2014,other broadleaved,9.35,15,0.031,NA,NA,88
1008648,2014,other broadleaved,9.93,14.5,0.031,NA,NA,88
1008648,2014,other broadleaved,11.03,15.3,0.041,NA,NA,88
1008648,2014,other broadleaved,12.91,15.6,0.055,NA,NA,88
1008648,2014,other broadleaved,15.17,15.9,0.076,NA,NA,88
1008648,2014,other broadleaved,18.75,16,0.115,NA,NA,88
1008648,2014,other broadleaved,42.72,23.5,1.288,NA,NA,15
1008648,2014,other broadleaved,34.86,21.1,0.771,NA,NA,54
1014449,2009,Picea abies,8.15,4.8,0.012,NA,NA,176
1014449,2009,Picea abies,8.6,4.8,0.013,NA,NA,88
1014449,2009,Picea abies,9.8,4.8,0.016,NA,NA,88
1014449,2009,Picea abies,10.3,4.8,0.018,NA,NA,88
1014449,2009,Picea abies,11.5,4.8,0.021,NA,NA,88
1014449,2009,Picea abies,13.8,4.8,0.029,NA,NA,88
1014449,2009,Picea abies,16.1,4.8,0.038,NA,NA,88
1014449,2009,Picea abies,19,4.8,0.051,NA,NA,88
1014449,2009,Quercus robur,33.65,10.6,0.407,NA,NA,39
1014449,2009,Quercus robur,27.84,10.7,0.27,NA,NA,39
1014449,2009,Abies alba,11.32,11.6,0.05,NA,NA,88
1014449,2009,other broadleaved,11.57,8.9,0.037,NA,NA,88
1014449,2009,other broadleaved,14.69,9,0.057,NA,NA,88
1014449,2009,other broadleaved,11.14,12.4,0.05,NA,NA,88
1014449,2009,other broadleaved,13.67,12.4,0.072,NA,NA,88
1014449,2009,other broadleaved,14.28,12.4,0.078,NA,NA,88
1014449,2009,other broadleaved,16.21,12.5,0.099,NA,NA,88
1014449,2009,other broadleaved,22.34,10.6,0.149,NA,NA,39
1014449,2010,Picea abies,8.82,5.8,0.014,NA,NA,176
1014449,2010,Picea abies,9.3,5.7,0.016,NA,NA,88
1014449,2010,Picea abies,9.8,5.6,0.017,NA,NA,88
1014449,2010,Picea abies,10.3,5.5,0.018,NA,NA,88
1014449,2010,Picea abies,11.5,5.4,0.022,NA,NA,88
1014449,2010,Picea abies,13.8,5.1,0.03,NA,NA,88
1014449,2010,Picea abies,16.1,4.9,0.039,NA,NA,88
1014449,2010,Picea abies,19,4.8,0.053,NA,NA,88
1014449,2010,Quercus robur,34.55,11.9,0.432,NA,NA,39
1014449,2010,Quercus robur,28.51,12,0.285,NA,NA,39
1014449,2010,Abies alba,11.9,12.6,0.057,NA,NA,88
1014449,2010,other broadleaved,12.01,10.2,0.041,NA,NA,88
1014449,2010,other broadleaved,15.19,10.3,0.063,NA,NA,88
1014449,2010,other broadleaved,11.63,13.3,0.057,NA,NA,88
1014449,2010,other broadleaved,14.26,13.5,0.081,NA,NA,88
1014449,2010,other broadleaved,14.89,13.5,0.088,NA,NA,88
1014449,2010,other broadleaved,16.89,13.6,0.111,NA,NA,88
1014449,2010,other broadleaved,23.28,11.9,0.167,NA,NA,39
1014449,2011,Picea abies,8.82,6.6,0.015,NA,NA,176
1014449,2011,Picea abies,9.3,6.6,0.016,NA,NA,88
1014449,2011,Picea abies,9.8,6.4,0.018,NA,NA,88
1014449,2011,Picea abies,10.3,6.4,0.019,NA,NA,88
1014449,2011,Picea abies,11.5,6.3,0.023,NA,NA,88
1014449,2011,Picea abies,13.8,5.9,0.031,NA,NA,88
1014449,2011,Picea abies,16.1,5.8,0.041,NA,NA,88
1014449,2011,Picea abies,19,5.5,0.055,NA,NA,88
1014449,2011,Quercus robur,35.46,13,0.46,NA,NA,39
1014449,2011,Quercus robur,29.22,13.2,0.304,NA,NA,39
1014449,2011,Abies alba,12.57,13.7,0.065,NA,NA,88
1014449,2011,other broadleaved,12.36,11.2,0.044,NA,NA,88
1014449,2011,other broadleaved,15.59,11.3,0.067,NA,NA,88
1014449,2011,other broadleaved,12.02,14,0.062,NA,NA,88
1014449,2011,other broadleaved,14.72,14.2,0.089,NA,NA,88
1014449,2011,other broadleaved,15.36,14.2,0.096,NA,NA,88
1014449,2011,other broadleaved,17.41,14.3,0.121,NA,NA,88
1014449,2011,other broadleaved,23.97,12.9,0.181,NA,NA,39
1014449,2012,Picea abies,8.82,6.9,0.016,NA,NA,176
1014449,2012,Picea abies,9.3,6.9,0.017,NA,NA,88
1014449,2012,Picea abies,9.8,7.1,0.018,NA,NA,88
1014449,2012,Picea abies,10.3,7,0.02,NA,NA,88
1014449,2012,Picea abies,11.5,7,0.024,NA,NA,88
1014449,2012,Picea abies,13.8,6.8,0.033,NA,NA,88
1014449,2012,Picea abies,16.1,6.7,0.043,NA,NA,88
1014449,2012,Picea abies,19,6.7,0.058,NA,NA,88
1014449,2012,Quercus robur,36.41,14,0.49,NA,NA,39
1014449,2012,Quercus robur,30.01,14.3,0.324,NA,NA,39
1014449,2012,Abies alba,13.36,14.8,0.076,NA,NA,88
1014449,2012,other broadleaved,12.68,12,0.047,NA,NA,88
1014449,2012,other broadleaved,15.96,12.1,0.071,NA,NA,88
1014449,2012,other broadleaved,12.39,14.5,0.067,NA,NA,88
1014449,2012,other broadleaved,15.14,14.7,0.096,NA,NA,88
1014449,2012,other broadleaved,15.8,14.8,0.104,NA,NA,88
1014449,2012,other broadleaved,17.89,14.9,0.131,NA,NA,88
1014449,2012,other broadleaved,24.57,13.7,0.193,NA,NA,39
1014449,2013,Picea abies,8.82,7.2,0.016,NA,NA,176
1014449,2013,Picea abies,9.3,7.2,0.018,NA,NA,88
1014449,2013,Picea abies,9.8,7.4,0.019,NA,NA,88
1014449,2013,Picea abies,10.3,7.3,0.021,NA,NA,88
1014449,2013,Picea abies,11.5,7.3,0.026,NA,NA,88
1014449,2013,Picea abies,13.8,7,0.035,NA,NA,88
1014449,2013,Picea abies,16.1,6.9,0.046,NA,NA,88
1014449,2013,Picea abies,19,6.8,0.062,NA,NA,88
1014449,2013,Quercus robur,37.35,14.9,0.522,NA,NA,39
1014449,2013,Quercus robur,30.79,15.2,0.346,NA,NA,39
1014449,2013,Abies alba,14.19,15.9,0.088,NA,NA,88
1014449,2013,other broadleaved,12.96,12.7,0.05,NA,NA,88
1014449,2013,other broadleaved,16.3,12.8,0.075,NA,NA,88
1014449,2013,other broadleaved,12.72,15,0.072,NA,NA,88
1014449,2013,other broadleaved,15.52,15.2,0.102,NA,NA,88
1014449,2013,other broadleaved,16.2,15.3,0.11,NA,NA,88
1014449,2013,other broadleaved,18.33,15.5,0.139,NA,NA,88
1014449,2013,other broadleaved,25.12,14.4,0.204,NA,NA,39
1014449,2014,Picea abies,8.82,7.7,0.017,NA,NA,176
1014449,2014,Picea abies,9.3,7.7,0.019,NA,NA,88
1014449,2014,Picea abies,9.8,7.7,0.02,NA,NA,88
1014449,2014,Picea abies,10.3,7.7,0.022,NA,NA,88
1014449,2014,Picea abies,11.5,7.6,0.027,NA,NA,88
1014449,2014,Picea abies,13.8,7,0.037,NA,NA,88
1014449,2014,Picea abies,16.1,6.9,0.048,NA,NA,88
1014449,2014,Picea abies,19,6.8,0.066,NA,NA,88
1014449,2014,Quercus robur,38.22,15.5,0.552,NA,NA,39
1014449,2014,Quercus robur,31.5,15.9,0.367,NA,NA,39
1014449,2014,Abies alba,14.98,16.7,0.1,NA,NA,88
1014449,2014,other broadleaved,13.22,13.2,0.053,NA,NA,88
1014449,2014,other broadleaved,16.6,13.4,0.079,NA,NA,88
1014449,2014,other broadleaved,13,15.4,0.076,NA,NA,88
1014449,2014,other broadleaved,15.87,15.7,0.108,NA,NA,88
1014449,2014,other broadleaved,16.55,15.7,0.116,NA,NA,88
1014449,2014,other broadleaved,18.73,15.9,0.146,NA,NA,88
1014449,2014,other broadleaved,25.57,14.9,0.214,NA,NA,39
1014595,2009,Fagus sylvatica,12.57,19.1,0.102,NA,NA,88
1014595,2009,Fagus sylvatica,16.39,19.1,0.168,NA,NA,176
1014595,2009,Fagus sylvatica,43.37,22.1,1.381,NA,NA,95
1014595,2009,Fagus sylvatica,63.98,26.3,3.542,NA,NA,14
1014595,2009,other broadleaved,17.16,12.3,0.111,NA,NA,88
1014595,2009,other broadleaved,40.15,22.3,1.185,NA,NA,28
1014595,2010,Fagus sylvatica,12.65,19.3,0.104,NA,NA,88
1014595,2010,Fagus sylvatica,16.49,19.3,0.172,NA,NA,176
1014595,2010,Fagus sylvatica,43.75,22.4,1.41,NA,NA,95
1014595,2010,Fagus sylvatica,64.48,26.6,3.605,NA,NA,14
1014595,2010,other broadleaved,17.28,12.4,0.114,NA,NA,88
1014595,2010,other broadleaved,40.67,22.8,1.222,NA,NA,28
1014595,2011,Fagus sylvatica,12.74,19.4,0.106,NA,NA,88
1014595,2011,Fagus sylvatica,16.6,19.5,0.175,NA,NA,176
1014595,2011,Fagus sylvatica,44.16,22.7,1.444,NA,NA,95
1014595,2011,Fagus sylvatica,65.02,26.9,3.676,NA,NA,14
1014595,2011,other broadleaved,17.37,12.7,0.115,NA,NA,88
1014595,2011,other broadleaved,41.16,23.2,1.257,NA,NA,28
1014595,2012,Fagus sylvatica,12.83,19.6,0.108,NA,NA,88
1014595,2012,Fagus sylvatica,16.72,19.7,0.179,NA,NA,176
1014595,2012,Fagus sylvatica,44.62,23.1,1.48,NA,NA,95
1014595,2012,Fagus sylvatica,65.64,27.3,3.754,NA,NA,14
1014595,2012,other broadleaved,17.49,12.9,0.117,NA,NA,88
1014595,2012,other broadleaved,41.71,23.7,1.3,NA,NA,28
1014595,2013,Fagus sylvatica,12.92,19.8,0.11,NA,NA,88
1014595,2013,Fagus sylvatica,16.83,19.9,0.181,NA,NA,176
1014595,2013,Fagus sylvatica,45.05,23.4,1.515,NA,NA,95
1014595,2013,Fagus sylvatica,66.22,27.6,3.836,NA,NA,14
1014595,2013,other broadleaved,17.59,13.1,0.12,NA,NA,88
1014595,2013,other broadleaved,42.22,24.1,1.336,NA,NA,28
1014595,2014,Fagus sylvatica,12.99,20,0.111,NA,NA,88
1014595,2014,Fagus sylvatica,16.92,20,0.184,NA,NA,176
1014595,2014,Fagus sylvatica,45.45,23.7,1.549,NA,NA,95
1014595,2014,Fagus sylvatica,66.77,27.9,3.904,NA,NA,14
1014595,2014,other broadleaved,17.68,13.2,0.121,NA,NA,88
1014595,2014,other broadleaved,42.69,24.5,1.375,NA,NA,28
1016269,2009,Fagus sylvatica,8.22,14.7,0.032,NA,NA,176
1016269,2009,Fagus sylvatica,10.28,14.8,0.048,NA,NA,88
1016269,2009,Fagus sylvatica,11.49,14.8,0.059,NA,NA,88
1016269,2009,Fagus sylvatica,12.19,14.8,0.066,NA,NA,88
1016269,2009,Fagus sylvatica,12.8,14.8,0.073,NA,NA,88
1016269,2009,Fagus sylvatica,13.8,14.8,0.085,NA,NA,88
1016269,2009,Fagus sylvatica,14.4,14.8,0.092,NA,NA,88
1016269,2009,Fagus sylvatica,14.71,14.8,0.096,NA,NA,88
1016269,2009,Fagus sylvatica,16.77,14.8,0.125,NA,NA,176
1016269,2009,Fagus sylvatica,17.22,14.8,0.132,NA,NA,88
1016269,2009,Fagus sylvatica,18.53,14.8,0.154,NA,NA,88
1016269,2009,Fagus sylvatica,19.73,14.8,0.174,NA,NA,88
1016269,2009,Fagus sylvatica,18.52,14.8,0.153,NA,NA,88
1016269,2009,Picea abies,27.89,20.6,0.524,NA,NA,39
1016269,2009,Picea abies,43.01,26.5,1.251,NA,NA,42
1016269,2009,other broadleaved,9.36,11.4,0.029,NA,NA,88
1016269,2009,other broadleaved,16.3,11.5,0.085,NA,NA,88
1016269,2009,other broadleaved,16.6,11.5,0.088,NA,NA,88
1016269,2009,other broadleaved,18.21,11.5,0.106,NA,NA,88
1016269,2010,Fagus sylvatica,8.31,15.1,0.033,NA,NA,176
1016269,2010,Fagus sylvatica,10.39,15.2,0.049,NA,NA,88
1016269,2010,Fagus sylvatica,11.61,15.2,0.061,NA,NA,88
1016269,2010,Fagus sylvatica,12.32,15.2,0.069,NA,NA,88
1016269,2010,Fagus sylvatica,12.93,15.3,0.075,NA,NA,88
1016269,2010,Fagus sylvatica,13.94,15.3,0.087,NA,NA,88
1016269,2010,Fagus sylvatica,14.55,15.3,0.095,NA,NA,88
1016269,2010,Fagus sylvatica,14.86,15.3,0.099,NA,NA,88
1016269,2010,Fagus sylvatica,16.93,15.4,0.129,NA,NA,176
1016269,2010,Fagus sylvatica,17.39,15.4,0.136,NA,NA,88
1016269,2010,Fagus sylvatica,18.7,15.4,0.158,NA,NA,88
